sep=;
CH1;CH2;CH3;CH4;CH5;CH6;CH7;CH8;Vbat;Trigger;AccX;AccY;AccZ;GyX;GyY;GyZ;N;fs;Timestamp
-1354,24530567985;-572,555371192051;-849,437475661631;-1019,19170856208;-1581,8405420105;-3783,04730464763;-945,534628180263;-1470,48360905237;3559;0;2110;-16518;879;145;-70;66;238399;500;09:57:35.628373
-1353,5243457004;-930,649882673169;-1133,88390551729;-1164,48640621337;-1529,22892702976;-3647,06944254617;-870,216816252738;-1503,86246948387;3559;0;2110;-16518;879;145;-70;66;238400;500;09:57:35.628401
-1162,9537483796;-1181,88019466866;-1188,15958208137;-1008,80337407754;-1091,64076586883;-2719,63703611796;-1110,82299042516;-1420,49718662852;3559;0;2110;-16518;879;145;-70;66;238401;500;09:57:35.628420
-1480,53419485665;-2273,61741047294;-1870,7522547784;-1618,22204990895;-1144,42248651339;-1620,83023174765;-662,69600434968;-1649,1598116816;3559;0;2110;-16518;879;145;-70;66;238402;500;09:57:35.628443
-1701,67226425675;-2726,56559496414;-2210,84868667962;-2097,73613376415;-1141,84413514729;-505,869158145972;-502,363094336586;-1799,37752112921;3559;0;2110;-16518;879;145;-70;66;238403;500;09:57:35.628464
-1560,24588729534;-2216,77280654223;-1933,46986381942;-1935,18221278;-1045,84103492228;127,133825056779;-867,716974353825;-1804,54928104498;3559;0;2110;-16518;879;145;-70;66;238404;500;09:57:35.628488
-1603,37372238678;-2189,26372122637;-2016,23396004853;-2071,71245364239;-1320,66939038015;-56,6824814914726;-626,264091548277;-1845,36052729271;3559;0;2238;-16433;828;-23;204;165;238405;500;09:57:35.629907
-1235,48286796757;-895,979515756771;-1226,36992514052;-1416,42815955332;-1268,05263805878;-843,392582601402;-1013,86201673729;-1622,24696897529;3559;0;2238;-16433;828;-23;204;165;238406;500;09:57:35.629938
-828,412863704143;-11,3402468048735;-444,333968930528;-727,534028389025;-1138,53099676617;-1976,00646579964;-1103,42475874687;-1334,28122310224;3559;0;2238;-16433;828;-23;204;165;238407;500;09:57:35.629963
-1136,92236818478;-368,005647454003;-707,530132196378;-940,592049465631;-1505,46777965804;-3257,37333245482;-956,307899330335;-1424,50154423469;3559;0;2238;-16433;828;-23;204;165;238408;500;09:57:35.629988
-1056,95484626293;-164,698465196532;-601,713159276522;-843,884937762283;-1528,89577667275;-3902,51324277086;-930,240245396737;-1270,07148555538;3559;0;2238;-16433;828;-23;204;165;238409;500;09:57:35.630015
-678,826848415425;158,307106314111;-228,882508464507;-480,040884981048;-1061,06056557433;-3653,02197482466;-1400,34101824305;-1057,8953184979;3559;0;2238;-16433;828;-23;204;165;238410;500;09:57:35.630043
-737,673846867168;-625,7855401712;-511,602535217186;-682,188268153346;-730,20048036892;-2669,14325623651;-1392,48683420534;-1029,18909005227;3559;0;2238;-16433;828;-23;204;165;238411;500;09:57:35.630072
-792,775795189897;-1142,68173772929;-884,184082904947;-1032,83394117071;-707,529832502129;-1586,14674446615;-1283,31398158724;-1150,85665124131;3559;0;2238;-16433;828;-23;204;165;238412;500;09:57:35.630102
-1056,83900297747;-1925,36467709433;-1494,55230145145;-1470,48495013162;-766,601728978567;-441,087559133826;-1010,4922313632;-1315,67828161467;3559;0;2238;-16433;828;-23;204;165;238413;500;09:57:35.630132
-1676,30558081449;-2789,6227309946;-2277,10779104813;-2134,15584319143;-1123,02975463145;169,960327812063;-472,726292567269;-1674,15804893733;3559;0;2238;-16433;828;-23;204;165;238414;500;09:57:35.630165
-1983,88424236479;-2626,3761956456;-2301,51058107091;-2149,48259945423;-1272,23846994736;149,298224234371;-425,611772987875;-1735,93409722927;3559;0;2279;-16392;847;-129;528;320;238415;500;09:57:35.630205
-1523,35319512209;-1051,9580076136;-1331,77206145355;-1460,96126393962;-1357,92171139969;-814,176931078429;-961,404233559268;-1421,2344995864;3559;0;2279;-16392;847;-129;528;320;238416;500;09:57:35.632379
-1179,81299849541;-219,613153586164;-478,434578435263;-676,637386989896;-1007,22081140219;-1868,9380485859;-1138,68191103125;-1097,49035628175;3559;0;2279;-16392;847;-129;528;320;238417;500;09:57:35.632452
-1050,19705056655;-49,5514200698235;-338,313274434418;-558,947754506371;-1186,55166969192;-3016,78502382874;-1429,96941803984;-1029,1638254259;3559;0;2279;-16392;847;-129;528;320;238418;500;09:57:35.632508
-729,371744599659;72,6762273917557;-185,022313947324;-407,924761270406;-1195,6534038051;-3652,31264687434;-1439,31431908393;-910,969108147314;3559;0;2279;-16392;847;-129;528;320;238419;500;09:57:35.632578
-899,459911341546;-624,478521871613;-531,505251435912;-649,314000985119;-1189,68837524042;-3599,04442389135;-1018,19391674403;-1041,65747047402;3559;0;2279;-16392;847;-129;528;320;238420;500;09:57:35.632641
-776,221099489252;-609,330459251476;-465,210797819775;-561,714560664375;-895,564742254326;-2781,11557300488;-940,166181803914;-1057,38587743824;3559;0;2279;-16392;847;-129;528;320;238421;500;09:57:35.675877
-514,372594418353;-678,816091621062;-331,157473410829;-451,337099061115;-430,179593966575;-1516,16847787198;-1263,55570980575;-1000,3329092646;3559;0;2279;-16392;847;-129;528;320;238422;500;09:57:35.675906
-926,552566586877;-1798,79093209439;-1177,60527687124;-1145,26729896141;-506,218461957294;-387,201638675993;-784,878971953469;-1231,14583850349;3559;0;2279;-16392;847;-129;528;320;238423;500;09:57:35.675925
-1150,69964160118;-1764,88217025256;-1563,26952401211;-1524,41303490719;-667,743836321402;197,02153742261;-667,910241347388;-1462,00935502979;3559;0;2279;-16392;847;-129;528;320;238424;500;09:57:35.675946
-682,342545169173;-494,113497650949;-853,916665017605;-1017,31130984763;-520,158312909305;86,2688817488379;-1210,23602950259;-1242,74670532125;3559;0;2263;-16426;915;-436;859;374;238425;500;09:57:35.675966
-306,263367051724;304,675880660012;-270,650640781736;-535,383450820693;-471,782540353946;-715,745255414629;-1448,61173076154;-1008,2859810323;3559;0;2263;-16426;915;-436;859;374;238426;500;09:57:35.675990
-65,0493472982198;689,02342816873;66,8431703717215;-168,764909314807;-344,492664754624;-1756,15247018851;-1441,47971412377;-725,038797871675;3559;0;2263;-16426;915;-436;859;374;238427;500;09:57:35.676014
-328,686885181582;249,697344795451;-321,340003456338;-519,234097488225;-792,170451064128;-2868,96054463566;-1574,49843444285;-654,98077640566;3559;0;2263;-16426;915;-436;859;374;238428;500;09:57:35.676040
-497,594610907137;-195,08351642231;-690,750559036038;-1025,2994682421;-982,808828489855;-3306,91823613399;-1431,52029671497;-410,872586003039;3559;0;2263;-16426;915;-436;859;374;238429;500;09:57:35.676067
-882,003960172297;-1343,83722210466;-1459,97561656917;-1812,19763358287;-1000,10362977511;-3051,60462684353;-967,303943032457;-434,133167071966;3559;0;2263;-16426;915;-436;859;374;238430;500;09:57:35.676106
-846,192325287033;-1455,62784966332;-1501,05888857425;-1760,41365939286;-784,606591351563;-2190,19314002397;-1084,22578875639;-478,94866040023;3559;0;2263;-16426;915;-436;859;374;238431;500;09:57:35.676136
-1231,1493784209;-2466,29947774665;-2128,8742818156;-2180,24302671792;-875,856222263072;-1119,83495625353;-691,840649981401;-736,841165762395;3559;0;2263;-16426;915;-436;859;374;238432;500;09:57:35.676164
-1335,98313558288;-2333,36999187828;-2038,23751683277;-2052,15863488545;-748,301547126379;-30,0056579547236;-875,732516762102;-828,509857182507;3559;0;2263;-16426;915;-436;859;374;238433;500;09:57:35.676194
-1478,21143900976;-2244,74005392328;-1931,75895746634;-1991,1804831319;-699,822605058784;576,173229624983;-987,731377950695;-1057,13203493983;3559;0;2263;-16426;915;-436;859;374;238434;500;09:57:35.676226
-1620,59311993525;-2125,32896502328;-1883,17783530068;-1970,63554948149;-805,952277570497;480,131007591146;-940,287208038673;-1205,34553594026;3559;0;2292;-16431;997;-542;1305;545;238435;500;09:57:35.676259
-1738,27702013263;-1895,03235088062;-1884,81681923266;-2024,80083677382;-1175,06151268538;-430,596387827478;-651,918277559045;-1329,79846664832;3559;0;2292;-16431;997;-542;1305;545;238436;500;09:57:35.676294
-1038,55741318688;-226,60518981528;-846,902782739257;-1159,98871862411;-1035,68591275322;-1588,30791839346;-1009,08496848517;-934,90326893481;3559;0;2292;-16431;997;-542;1305;545;238437;500;09:57:35.676331
-1123,6508821469;-536,684335842205;-950,812583219842;-1273,83959076402;-1381,96461724024;-2880,56177957967;-964,253324229678;-957,307481454452;3559;0;2292;-16431;997;-542;1305;545;238438;500;09:57:35.676397
-1115,21923192055;-519,902671797376;-932,150428106892;-1254,05048294447;-1459,5283265321;-3481,81146716222;-917,956207766139;-905,857132519013;3559;0;2292;-16431;997;-542;1305;545;238439;500;09:57:35.676434
-772,950372714084;-63,0805757131893;-455,567717950442;-790,254712467548;-1021,30560110393;-3244,64436644345;-1336,28074105427;-746,695403683814;3559;0;2292;-16431;997;-542;1305;545;238440;500;09:57:35.676472
-879,129969874048;-1029,0429138667;-975,683657251531;-1144,11044970399;-955,207633923739;-2446,85753333202;-945,388145933684;-780,291250150884;3559;0;2292;-16431;997;-542;1305;545;238441;500;09:57:35.676509
-1054,50511079468;-1762,29043802037;-1535,97227697703;-1605,79574245599;-988,278493764345;-1339,94477236818;-720,326757194009;-930,699006320443;3559;0;2292;-16431;997;-542;1305;545;238442;500;09:57:35.676548
-1184,91773748409;-2285,57540905394;-1798,03619156824;-1814,20976817573;-964,254060626496;-199,102554549521;-563,63489045907;-1070,24826723081;3559;0;2292;-16431;997;-542;1305;545;238443;500;09:57:35.676587
-1151,67466409772;-1887,98944453575;-1630,4398037449;-1764,55718746525;-987,197886132635;378,952890025917;-650,357997865707;-1195,09417198692;3559;0;2292;-16431;997;-542;1305;545;238444;500;09:57:35.676627
-801,796478984528;-960,658896447858;-946,136807341711;-1231,50099465402;-838,892103546998;276,014834802016;-1187,13341845281;-987,416626164573;3559;0;2283;-16474;1129;-487;1593;654;238445;500;09:57:35.722752
-838,848373156157;-725,587203163304;-588,340957889217;-841,196440665051;-736,130262699444;-521,270972187049;-1335,5605367634;-833,968589630444;3559;0;2283;-16474;1129;-487;1593;654;238446;500;09:57:35.722788
-734,292688543326;-192,317455308104;-269,771238550195;-486,539074716042;-583,941753789084;-1613,66007085179;-1307,18238155736;-631,723007009248;3559;0;2283;-16474;1129;-487;1593;654;238447;500;09:57:35.722812
-818,831916243886;-196,360055099416;-336,767749872757;-532,796285651159;-804,298201534431;-2748,9878366405;-1531,51887967816;-639,671220646356;3559;0;2283;-16474;1129;-487;1593;654;238448;500;09:57:35.722835
-715,45900806773;-96,9948549884139;-235,965033522458;-404,54934316338;-885,728082147427;-3301,60710824933;-1472,75736779952;-568,989126855624;3559;0;2283;-16474;1129;-487;1593;654;238449;500;09:57:35.722859
-912,466564081376;-891,2508638195;-786,321933321655;-812,523553237203;-976,043794749072;-3166,47963762947;-1007,23590590921;-692,947900730884;3559;0;2283;-16474;1129;-487;1593;654;238450;500;09:57:35.723873
-1043,37836460373;-1613,94110781146;-1393,37498546951;-1285,92716181022;-856,506649888819;-2290,58691779437;-856,543371883105;-788,500363982981;3559;0;2283;-16474;1129;-487;1593;654;238451;500;09:57:35.723901
-771,140930940979;-1347,70937304228;-1275,30778687459;-1218,73304131685;-573,466779306764;-1093,63107190409;-1273,1406891704;-853,01626211917;3559;0;2283;-16474;1129;-487;1593;654;238452;500;09:57:35.723925
-522,147823094856;-1273,56121367373;-1138,79003261379;-1209,9675003828;-484,738248666981;-70,5791009183158;-1341,64319800044;-902,780583734624;3559;0;2283;-16474;1129;-487;1593;654;238453;500;09:57:35.723950
-475,986615021597;-858,440319324436;-944,307634655619;-1032,32708528871;-393,123742135242;406,058192815864;-1338,68163857318;-1012,50656255591;3559;0;2283;-16474;1129;-487;1593;654;238454;500;09:57:35.723986
-318,089856653824;-332,201389261289;-561,417566334247;-759,477377205971;-324,500296741491;187,067475021875;-1290,98596112989;-971,760638174601;3559;0;2214;-16543;1239;-629;1955;799;238455;500;09:57:35.724014
-448,351334651699;-256,725593009149;-581,779194888892;-835,828878170112;-752,600471671205;-705,937080307049;-918,880217884551;-959,310313689406;3559;0;2214;-16543;1239;-629;1955;799;238456;500;09:57:35.724041
235,915916155325;1325,33085248672;468,401016260963;-78,4347416682867;-691,37064250512;-1724,89924230555;-1190,36407448672;-561,404274777859;3559;0;2214;-16543;1239;-629;1955;799;238457;500;09:57:35.724081
271,656297799083;1023,31083832763;331,834028295125;-174,186324846814;-863,414946431993;-2912,92468127667;-1214,94314957585;-397,006836286164;3559;0;2214;-16543;1239;-629;1955;799;238458;500;09:57:35.724115
491,776510229334;1337,16995914094;674,951406984939;260,931421609712;-506,591389735229;-3468,8835475099;-1536,29775864765;-63,7224288973957;3559;0;2214;-16543;1239;-629;1955;799;238459;500;09:57:35.724146
160,580660389736;213,081321266945;158,141969660413;86,4075190027943;-55,8230270599015;-3223,76032882516;-1286,14995026001;-141,039747272152;3559;0;2214;-16543;1239;-629;1955;799;238460;500;09:57:35.724206
119,713355032261;-51,3001699852175;56,2098748912103;267,833325948683;513,536694101989;-2186,57466855488;-1511,10496875376;-199,498574223369;3559;0;2214;-16543;1239;-629;1955;799;238461;500;09:57:35.724263
-1,14175176993012;-655,220565233787;-231,275815461297;130,971694685868;542,124451582786;-918,787579725147;-1500,65487556357;-396,344030008884;3559;0;2214;-16543;1239;-629;1955;799;238462;500;09:57:35.724358
-30,0566849063616;-1125,36782522534;-769,561408971203;-566,646364903543;336,803565955255;174,20424660173;-1323,32703298057;-408,860195733723;3559;0;2214;-16543;1239;-629;1955;799;238463;500;09:57:35.724473
-34,7594435289502;-1086,76420083566;-1112,28300174698;-1339,9988953647;-57,7595537053421;685,117275923316;-1184,93032534054;-400,335349583649;3559;0;2214;-16543;1239;-629;1955;799;238464;500;09:57:35.724533
-253,057561339228;-1088,34986723273;-1450,68111035274;-2358,0404116587;-614,342547069304;697,718825955875;-734,191580329149;-338,238955257344;3559;0;2070;-16615;1340;-627;2100;926;238465;500;09:57:35.724616
-147,639634252759;-22,589530022;-799,993886766257;-2395,36741715879;-536,897025228245;24,4507044304046;-786,919664318848;-111,942857730086;3559;0;2070;-16615;1340;-627;2100;926;238466;500;09:57:35.724685
385,76603710081;1169,98089010478;291,772372078965;-1477,1441404043;360,436860767426;-976,296964241192;-1252,35686921765;302,330971084535;3559;0;2070;-16615;1340;-627;2100;926;238467;500;09:57:35.724765
134,392160576885;408,813807646395;-121,719767461647;-1544,20087825065;368,07914646226;-2221,88945554057;-1170,34092117217;343,73343637411;3559;0;2070;-16615;1340;-627;2100;926;238468;500;09:57:35.724873
150,488634963986;291,146134423907;-181,238570087124;-1540,79740195442;-300,135913825827;-2992,72925580619;-994,897362824297;492,923734104028;3559;0;2070;-16615;1340;-627;2100;926;238469;500;09:57:35.770081
160,415717778495;27,8620029799058;-238,019509441336;-1190,55852789502;-557,52740323171;-2882,31004621071;-979,611339788535;550,794466051273;3559;0;2070;-16615;1340;-627;2100;926;238470;500;09:57:35.770112
112,57525531284;-452,747049394355;-114,213963835733;-220,574004388414;367,894073822303;-2014,92824296659;-1295,39528509998;470,783923196257;3559;0;2070;-16615;1340;-627;2100;926;238471;500;09:57:35.770132
-298,383338644984;-1510,66564395098;-601,116468741908;-258,427596523194;580,159742839634;-962,531085702241;-993,049754325941;66,7990349206375;3559;0;2070;-16615;1340;-627;2100;926;238472;500;09:57:35.770151
-55,2819269282045;-1142,20666055055;-552,248270470765;-252,073504744563;876,20784091251;124,461503128696;-1260,87628185883;37,5300346083241;3559;0;2070;-16615;1340;-627;2100;926;238473;500;09:57:35.770173
157,954696133384;-938,297268689028;-556,637216839357;-353,113470643177;892,263101208722;590,69605897984;-1485,5589209398;25,5187548344256;3559;0;2070;-16615;1340;-627;2100;926;238474;500;09:57:35.770195
125,054422215209;-598,766717725783;-417,85005269316;-235,247378635569;746,102217587642;373,350222554465;-1435,09100080101;10,6752298370702;3559;0;1947;-16752;1468;-1208;2391;1993;238475;500;09:57:35.770253
-194,632579716505;-419,470840098977;-360,279347736971;-235,112263298128;417,8942328915;-569,712107135681;-1104,96056322055;-98,3892471755389;3559;0;1947;-16752;1468;-1208;2391;1993;238476;500;09:57:35.770278
242,939929364249;1079,28503027337;654,557972153649;514,315083351801;512,135641040513;-1680,84336513031;-1486,45673823066;304,697701571858;3559;0;1947;-16752;1468;-1208;2391;1993;238477;500;09:57:35.770302
320,271156725357;1306,16829870921;1020,69888270716;711,778066249215;505,805459018564;-2829,70787432237;-1814,43697166862;486,102328227484;3559;0;1947;-16752;1468;-1208;2391;1993;238478;500;09:57:35.770328
298,24323876237;793,801052144379;728,342393850791;273,730861585704;328,610123477876;-3424,51032016391;-1457,53406024812;548,95422026387;3559;0;1947;-16752;1468;-1208;2391;1993;238479;500;09:57:35.770357
596,465002966346;930,754858749977;824,188037689542;388,697374858893;316,589070174145;-3109,4290056348;-1742,02227345703;709,380574077019;3559;0;1947;-16752;1468;-1208;2391;1993;238480;500;09:57:35.770386
784,608373635449;433,939261235239;648,505455496721;514,137912479229;678,354314414319;-2064,77562873805;-1713,83441203763;667,038972912123;3559;0;1947;-16752;1468;-1208;2391;1993;238481;500;09:57:35.770427
537,098083345336;-460,150203662692;-127,218920730869;-25,8307146466104;809,994879049715;-941,662037977134;-1239,73923942226;306,207401410327;3559;0;1947;-16752;1468;-1208;2391;1993;238482;500;09:57:35.770459
739,843412729329;-191,304445231101;-44,5918728914112;109,735951498733;1141,69025652274;5,48260619293433;-1513,84431800677;401,030629297951;3559;0;1947;-16752;1468;-1208;2391;1993;238483;500;09:57:35.770491
730,347403541673;-30,1518397479667;62,8424955095397;139,262020340073;1099,52507360512;421,069954410545;-1644,34880407486;460,866614646162;3559;0;1947;-16752;1468;-1208;2391;1993;238484;500;09:57:35.770527
823,297192808473;453,944536482391;331,90716671769;359,213194960612;1141,31799325999;208,372083931172;-1683,72189704364;569,624612025684;3559;0;1880;-16957;1541;-1267;2193;2631;238485;500;09:57:35.770563
828,598015624215;845,521866449621;634,367396392976;870,552463928354;1537,31165607367;-409,113802136504;-1730,48722052673;668,058394644991;3559;0;1880;-16957;1541;-1267;2193;2631;238486;500;09:57:35.770599
1207,4487363972;1787,68024609511;1269,90565699094;1297,95985439362;1321,12093102071;-1616,11409614643;-1657,35110318044;988,829657159396;3559;0;1880;-16957;1541;-1267;2193;2631;238487;500;09:57:35.770638
946,517192652449;1376,44550544902;1013,02341751289;911,069463317632;523,255315659568;-3009,70867324475;-1448,92003573972;987,557581248926;3559;0;1880;-16957;1541;-1267;2193;2631;238488;500;09:57:35.770677
